Track Name,Artist,album,Popularity,Duration (minutes),Year
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),78,3.9294333333333333,2021
Blank Space,Taylor Swift,1989 (Deluxe),84,3.863766666666667,2014
Shake It Off,Taylor Swift,1989 (Deluxe),81,3.6533333333333333,2014
Our Song,Taylor Swift,Taylor Swift (Deluxe Edition),62,3.351766666666667,2006
You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),83,3.8520666666666665,2021
Teardrops on My Guitar - Pop Version,Taylor Swift,Taylor Swift (Deluxe Edition),55,2.9844333333333335,2006
Style,Taylor Swift,1989 (Deluxe),84,3.85,2014
Bad Blood,Taylor Swift,Bad Blood,66,3.3351,2015
willow,Taylor Swift,evermore,75,3.5784333333333334,2020
Delicate,Taylor Swift,reputation,82,3.8708833333333335,2017
You Need To Calm Down,Taylor Swift,Lover,77,2.856,2019
august,Taylor Swift,folklore,87,4.365366666666667,2020
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,Red (Taylor's Version),71,4.090433333333333,2021
Cruel Summer,Taylor Swift,Lover,88,2.9737666666666667,2019
Gorgeous,Taylor Swift,reputation,75,3.494666666666667,2017
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),82,10.2171,2021
The Way I Loved You (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),78,4.052266666666666,2021
Look What You Made Me Do,Taylor Swift,reputation,79,3.530883333333333,2017
This Love (Taylor’s Version),Taylor Swift,This Love (Taylor’s Version),71,4.168333333333333,2022
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version),71,4.751766666666667,2021
Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),73,3.6738833333333334,2021
Never Grow Up,Taylor Swift,Speak Now,51,4.841333333333333,2010
mirrorball,Taylor Swift,folklore,75,3.48295,2020
Fifteen (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),64,4.906983333333334,2021
Mine,Taylor Swift,Speak Now (Deluxe Package),58,3.846216666666667,2010
State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),51,4.92355,2021
New Year’s Day,Taylor Swift,reputation,70,3.9244333333333334,2017
Out Of The Woods,Taylor Swift,1989 (Deluxe),64,3.93,2014
Lover,Taylor Swift,Lover,86,3.6884333333333332,2019
invisible string,Taylor Swift,folklore,76,4.214666666666667,2020
The Archer,Taylor Swift,Lover,75,3.5206666666666666,2019
Mean,Taylor Swift,Speak Now,54,3.9624333333333333,2010
Hey Stephen (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),64,4.237566666666667,2021
Forever & Always (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),65,3.7554666666666665,2021
Cornelia Street,Taylor Swift,Lover,73,4.787766666666666,2019
Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),79,3.7182166666666667,2021
Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),75,4.026516666666667,2021
cardigan,Taylor Swift,folklore,87,3.9926666666666666,2020
betty,Taylor Swift,folklore,69,4.908683333333333,2020
ivy,Taylor Swift,evermore,65,4.3406666666666665,2020
Picture To Burn,Taylor Swift,Taylor Swift (Deluxe Edition),62,2.8844333333333334,2006
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,The Hunger Games: Songs From District 12 And Beyond,60,4.0011,2012
Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),69,3.9811,2021
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),57,3.6626666666666665,2021
Getaway Car,Taylor Swift,reputation,80,3.8937666666666666,2017
Dress,Taylor Swift,reputation,82,3.83955,2017
White Horse (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),69,3.9085833333333335,2021
Christmases When You Were Mine,Taylor Swift,The Taylor Swift Holiday Collection,44,3.070883333333333,2008
champagne problems,Taylor Swift,evermore,75,4.066666666666666,2020
22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),71,3.8493333333333335,2021
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),63,4.392216666666667,2021
Fortnight (feat. Post Malone) - BLOND:ISH Remix,Taylor Swift,Fortnight (feat. Post Malone) [BLOND:ISH Remix],62,3.6163166666666666,2024
I Love Taylor,Will Roush,WaterWorld,27,2.7537666666666665,2024
King Of My Heart,Taylor Swift,reputation,73,3.572,2017
Braggadocious,Justina Valentine,Braggadocious,38,2.826783333333333,2025
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),73,3.766,2021
Extra Mile,Alicia G,Extra Mile,24,3.292133333333333,2025
I'm Only Me When I'm With You,Taylor Swift,Taylor Swift (Deluxe Edition),55,3.550883333333333,2006
Ghost Town,Will Roush,Water We Doing?,39,3.0888833333333334,2025
State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),65,4.92355,2021
Game On,Gaming Beats Club,Game On,34,4.35555,2025
Southern Country Girl,2'Live Bre,Southern Country Girl,52,2.933333333333333,2025
Can We Start Over,Rebecca Claire,Can We Start Over,32,2.5604,2025
Calling My,YUNG XAVI,Baddies & Bentley's (Deluxe),36,2.25,2025
Zoom,Benny Freestyles,Zoom,28,2.4164,2025
Lost in the Music (Is Where I'll Be),Rebecca Claire,Lost in the Music (Is Where I'll Be),30,3.1310166666666666,2025
Gratitude Intro,Benny Freestyles,Gratitude Intro,28,1.4115666666666666,2025
Trapzzoid,Riff Raff,Trapzzoid,43,2.3255666666666666,2025
Will You Come Again My Yesterday?,Purnanand Wasave,Will You Come Again My Yesterday?,33,3.91705,2020
That's the Way It Is,World Famous Ink Spots,That's the Way It Is,14,3.26845,2025
